Timestamp,Rank,Name,Symbol,Price,24h_Change,Market_Cap
2025-12-05 22:02:39,,CoinMarketCap 20 Index DTF,CMC20,193.01,0.11%,0.77%
2025-12-05 22:02:39,1.0,Bitcoin,BTC,89236.08,2.08%,2.14%
2025-12-05 22:02:39,2.0,Ethereum,ETH,3054.04,1.94%,0.69%
2025-12-05 22:02:39,3.0,Tether,USDT,1.0,0.00%,0.01%
2025-12-05 22:02:39,4.0,XRP,XRP,2.05,1.50%,7.00%
2025-12-05 22:02:39,5.0,BNB,BNB,883.33,1.25%,0.93%
2025-12-05 22:02:39,6.0,USDC,USDC,0.9999,0.02%,0.04%
2025-12-05 22:02:39,7.0,Solana,SOL,133.39,1.32%,4.36%
2025-12-05 22:02:39,8.0,TRON,TRX,0.2853,0.33%,1.82%
2025-12-05 22:02:39,9.0,Dogecoin,DOGE,0.141,1.79%,7.24%
2025-12-05 23:16:54,,CoinMarketCap 20 Index DTF,CMC20,188.77,0.88%,1.70%
2025-12-05 23:16:54,1.0,Bitcoin,BTC,89112.29,0.62%,1.48%
2025-12-05 23:16:54,2.0,Ethereum,ETH,3022.5,0.12%,0.18%
2025-12-05 23:16:54,3.0,Tether,USDT,1.0,0.01%,0.03%
2025-12-05 23:16:54,4.0,XRP,XRP,2.03,0.32%,6.43%
2025-12-05 23:16:54,5.0,BNB,BNB,879.71,0.63%,0.21%
2025-12-05 23:16:54,6.0,USDC,USDC,0.9998,0.01%,0.06%
2025-12-05 23:16:54,7.0,Solana,SOL,131.91,0.08%,3.96%
2025-12-05 23:16:55,8.0,TRON,TRX,0.2849,0.24%,1.52%
2025-12-05 23:16:55,9.0,Dogecoin,DOGE,0.1384,0.05%,7.18%
2025-12-07 13:10:49,,CoinMarketCap 20 Index DTF,CMC20,189.12,0.54%,1.47%
2025-12-07 13:10:49,1,Bitcoin,BTC,89285.53,0.46%,1.85%
2025-12-07 13:10:50,2,Ethereum,ETH,3035.74,0.40%,0.98%
2025-12-07 13:10:50,3,Tether,USDT,1.00,0.00%,0.01%
2025-12-07 13:10:50,4,BNB,BNB,892.84,0.30%,2.07%
2025-12-07 13:10:50,5,XRP,XRP,2.03,0.81%,7.63%
2025-12-07 13:10:50,6,USDC,USDC,0.9999,0.02%,0.03%
2025-12-07 13:10:50,7,Solana,SOL,132.26,0.70%,3.07%
2025-12-07 13:10:50,8,TRON,TRX,0.2852,0.12%,1.86%
2025-12-07 13:10:50,9,Dogecoin,DOGE,0.1396,0.75%,6.36%
2025-12-14 12:37:19,,CoinMarketCap 20 Index DTF,CMC20,191.00,0.26%,0.50%
2025-12-14 12:37:19,1,Bitcoin,BTC,90169.44,0.07%,0.63%
2025-12-14 12:37:19,2,Ethereum,ETH,3110.98,0.01%,2.07%
2025-12-14 12:37:19,3,Tether,USDT,1.00,0.01%,0.01%
2025-12-14 12:37:19,4,BNB,BNB,893.58,0.09%,0.15%
2025-12-14 12:37:19,5,XRP,XRP,2.01,0.15%,1.39%
2025-12-14 12:37:19,6,USDC,USDC,0.9999,0.01%,0.01%
2025-12-14 12:37:20,7,Solana,SOL,132.95,0.29%,0.07%
2025-12-14 12:37:20,8,TRON,TRX,0.2743,0.11%,3.94%
2025-12-14 12:37:20,9,Dogecoin,DOGE,0.1380,0.08%,1.87%
2025-12-14 12:38:48,,CoinMarketCap 20 Index DTF,CMC20,191.00,0.26%,0.50%
2025-12-14 12:38:48,1,Bitcoin,BTC,90154.66,0.10%,0.51%
2025-12-14 12:38:48,2,Ethereum,ETH,3110.54,0.08%,2.06%
2025-12-14 12:38:48,3,Tether,USDT,1.00,0.01%,0.02%
2025-12-14 12:38:48,4,BNB,BNB,893.55,0.09%,0.14%
2025-12-14 12:38:48,5,XRP,XRP,2.01,0.00%,1.39%
2025-12-14 12:38:48,6,USDC,USDC,0.9999,0.01%,0.02%
2025-12-14 12:38:48,7,Solana,SOL,132.94,0.24%,0.06%
2025-12-14 12:38:48,8,TRON,TRX,0.2742,0.11%,3.94%
2025-12-14 12:38:48,9,Dogecoin,DOGE,0.1380,0.08%,1.87%
2025-12-14 12:42:36,,CoinMarketCap 20 Index DTF,CMC20,190.99,0.12%,6645697
2025-12-14 12:42:36,1,Bitcoin,BTC,90174.51,0.20%,1800057412147
2025-12-14 12:42:37,2,Ethereum,ETH,3111.42,0.55%,375534258359
2025-12-14 12:42:37,3,Tether,USDT,1.00,0.01%,186286056171
2025-12-14 12:42:37,4,BNB,BNB,893.24,0.62%,123031460090
2025-12-14 12:42:37,5,XRP,XRP,2.01,0.56%,121724591587
2025-12-14 12:42:37,6,USDC,USDC,0.9999,0.01%,78414549150
2025-12-14 12:42:37,7,Solana,SOL,132.95,0.05%,74707020240
2025-12-14 12:42:37,8,TRON,TRX,0.2741,0.16%,25959083280
2025-12-14 12:42:37,9,Dogecoin,DOGE,0.1380,0.33%,23184545519
